root_symbol,exchange,name,multiplier,tick_size,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours,sector,sub_sector,exchange_y,sector,symbol,strategy,tick,tick value,multiplier_y,,
9F,NYMEX,Texas Gas Zone 1 Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,http://www.cmegroup.com/trading/energy/natural-gas/texas-gas-zone-1-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: 9FNCME ClearPort: 9FClearing: 9F ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: ,Energy,Natural Gas,,,,,,,,,P
A3,NYMEX,NYISO Zone C 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-c-5-mw-off-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: AA3 ,Financially Settled ,The contract quantity shall be 5 Megawatts Hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
A5,NYMEX,EIA Flat Tax On-Highway Diesel Futures,42000,0.0001,http://www.cmegroup.com/trading/energy/refined-products/eia-flat-tax-on-highway-diesel-swap_contract_specifications.html,CME Globex: AA5CME ClearPort: A5Clearing: A5 ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
A6,NYMEX,Group Three ULSD (Platts) vs. NY Harbor ULSD Futures,42000,0.0001,http://www.cmegroup.com/trading/energy/refined-products/group-three-ultra-low-sulfur-diesel-ulsd-platts-vs-heating-oil-spread-swap_contract_specifications.html,CME Globex: AA6CME ClearPort: A6Clearing: A6 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
ABY,NYMEX,WTI-Brent Bullet Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/wti-brent-ice-bullet-swap-futures_contract_specifications.html,CME Globex: ABYCME ClearPort: BYClearing: BY ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"For contract months up to and including the February 2016 contract, trading shall end one business day prior to the termination of the Brent futures contract, i.e., two business days before the fifteenth calendar day prior to the first day of the delivery month, if the fifteenth calendar day is not a holiday or weekend in London. If the fifteenth calendar day is a holiday or weekend in London, trading shall end three business days prior to the last business day preceding the fifteenth calendar day. Effective with the March 2016 contract, the last trading day will be the business day preceding the last UK business day of the second month preceding the contract month, except for the business day preceding New Year's Day, where trading shall cease on the third UK business day preceding New Year's Day. ",CME Globex: ,Energy,Crude Oil,NYMEX,WTI-Brent Bullet Futures,ABY,Outright,0.01,10,1000,,
AD,CME,Australian Dollar Futures,100000,0.0001,http://www.cmegroup.com/trading/fx/g10/australian-dollar_contract_specifications.html,CME Globex: 6A ,Deliverable ,,"100,000 Australian dollars ",Outrights: 0.0001 USD per AUD increments ($10.00 USD). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday – Friday 5:00 p.m. – 4:00 p.m. CT (with a 60-minute break each day beginning at 4:00 p.m.CT) ,FX,Majors,,,,,,,,,
AFF,NYMEX,WTI Midland (Argus) vs. WTI Financial Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/wts-argus-vs-wti-calendar-spread-swap-futures_contract_specifications.html,CME Globex: AFFCME ClearPort: FFClearing: FF ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Crude Oil,NYMEX,WTI Midland (Argus) vs. WTI Financial Futures,AFF,Outright,0.01,10,1000,,L
AGA,NYMEX,Singapore Gasoil (Platts) vs. Gasoil Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/gasoil-arb-singapore-gasoil-platts-vs-ice-rdam-gasoil-swap_contract_specifications.html,CME Globex: AGACME ClearPort: GAClearing: GA ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,NYMEX,Singapore Gasoil (Platts) vs. Low Sulphur Gasoil Futures,AGA,Outright,0.001,1,1000,,L
ARW,NYMEX,Gulf Coast Unl 87 Gasoline M1 (Platts) Crack Spread Futures,42000,0.0001,https://www.cmegroup.com/trading/energy/refined-products/gulf-coast-unl-87-gasoline-m2-platts-swap.html,,,,,,,,Energy,Refined Products,,,,,,,,,
AW,CBT,Dow Jones-UBS Commodity Index Futures,100,0.1,http://www.cmegroup.com/trading/agricultural/commodity-index/dow-jones-ubs-excess-return-commodity-index_contract_specifications.html,CME Globex: AWCME ClearPort: 70 ,Financially Settled ,Index points ,$100 times the Bloomberg Commodity Index ,.10 Index point ($10.00 per contract) ,3rd Wednesday of contract month/ 1:30pm ,CME Globex: ,Agriculture,Commodity Index,,Bloomberg Commodity Index Futures,AW,Outright,0.01,1,100,,W
B0,NYMEX,Mont Belvieu LDH Propane (OPIS) Futures,42000,1.00E-05,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-propane-5-decimals-swap_contract_specifications.html,CME Globex: B0CME ClearPort: B0Clearing: B0 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Petrochemicals,NYMEX,Mont Belvieu LDH Propane (OPIS) Futures ,B0,Outright,1.00E-05,0.42,42000,,L
B3,NYMEX,PJM Northern Illinois Hub 5 MW Peak Calendar-Month Real-Time LMP Futures,80,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-northern-illinois-hub-5-mw-peak-real-time-calendar-month-lmp-swap-futures_contract_specifications.html,CME Globex: AB3 ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the second to last business day of the month prior to the contract month, each B3/AB3 open position converts into a strip of PJM Northern Illinois Hub Real-Time Peak Calendar-Day 5 MW Futures - UD/UDL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
B4,NYMEX,Algonquin City-Gates Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,http://www.cmegroup.com/trading/energy/natural-gas/algonquin-citygates-natural-gas-basis-futures_contract_specifications.html,,,,,,,,Energy,Natural Gas,,,,,,,,,
B6,NYMEX,PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-ni-hub-5-mw-real-time-off-peak-futures_contract_specifications.html,CME Globex: B6LCME ClearPort: B6 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the last business day of the month prior to the contract month, each B6/B6L open position converts into a strip of PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Day 5 MW Futures - NOC/NOI in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,P
BB,NYMEX,Brent Crude Oil Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil_contract_specifications.html,CME Globex: BBCME ClearPort: BBClearing: BB ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading terminates on the business day preceding the last UK business day of the second month preceding the contract month, except for the business day preceding New Year's Day, where trading shall cease on the third UK business day preceding New Year's Day. ",CME Globex: ,Energy,Crude Oil,NYMEX,Brent Crude Oil Penultimate Financial Futures,BB,Outright,0.01,10,1000,,
BK,NYMEX,WTI-Brent Financial Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/wti-brent-ice-calendar-swap-futures_contract_specifications.html,CME Globex: BKCME ClearPort: BKClearing: BK ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month ,CME Globex: ,Energy,Crude Oil,NYMEX,WTI?Brent Financial Futures ,BK,Outright,0.01,10,1000,,L
BO,CBT,Soybean Oil Futures,600,0.01,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean-oil_contract_specifications.html,CME Globex: ZLCME ClearPort: 07 ,Deliverable ,Cents per pound ,"60,000 pounds (lbs) (~ 27 metric tons) ",1/100 of a cent ($0.0001) per pound ($6.00 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and ",Agriculture,Grain And Oilseed,,,,,,,,,
BOB,NYMEX,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread (1000mt) Futures,6350,0.001,http://www.cmegroup.com/trading/energy/refined-products/35pct-fuel-oil-platts-barges-fob-rdam-crack-spread-1000mt-swap-futures_contract_specifications.html,CME Globex: BOOCME ClearPort: BOBClearing: BOB ,Financially Settled ,U.S. Dollars and Cents per Barrel ,"6,350 barrels (1,000 metic tons) ",$0.001 per Barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,
BP,CME,British Pound Futures,62500,0.0001,http://www.cmegroup.com/trading/fx/g10/british-pound_contract_specifications.html,CME Globex: 6B ,Deliverable ,,"62,500 British pounds ",Outrights: 0.0001 USD per GBP increments ($6.25 USD). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,FX,Majors,,,,,,,,,
BR,CME,Brazilian Real Futures,100000,5.00E-05,http://www.cmegroup.com/trading/fx/emerging-market/brazilian-real_contract_specifications.html,CME Globex: 6LCME ClearPort: BRClearing: BR ,Financially Settled ,,"100,000 Brazilian reais ",$.00005 per Brazilian real increments ($5.00/contract). ,"On the last business day of the month, at 9:15 a.m. CT, immediately preceding the contract month, on which the Central Bank of Brazil is scheduled to publish its final end-of-month (EOM), ""Commercial exchange rate for Brazilian reais per U.S. dollar for cash delivery"" (PTAX rate). ",Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. ,FX,Emerging Markets,,,,,,,,,
BY,CME,British Pound/Japanese Yen Futures,125000,0.01,http://www.cmegroup.com/trading/fx/g10/british-pound-japanese-yen_contract_specifications.html,CME Globex: PJYCME ClearPort: BYClearing: BY ,Deliverable ,,"125,000 British pounds ",".01 Japanese yen per British pound increments (1,250 Japanese yen). .005 Japanese yen per British pound increments (625 Japanese yen) for GBP/JPY futures intra-currency spreads executed electronically. ",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,FX,Cross Rates,,,,,,,,,
BZ,NYMEX,Brent Crude Oil Financial Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil-last-day_contract_specifications.html,CME Globex: BZCME ClearPort: BZClearing: BZ ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading terminates on the last UK business day of the second month prior to the contract month, except for the UK business day prior to New Year’s Day, where trading terminates on the second UK business day prior to New Year’s Day. ",CME Globex: ,Energy,Crude Oil,NYMEX,Brent Crude Oil Last Day Financial Futures,BZ,Outright,0.01,10,1000,,
C,CBT,Corn Futures,50,0.25,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/corn_contract_specifications.html,CME Globex: ZCCME ClearPort: C ,Deliverable ,Cents per bushel ,"5,000 bushels (~ 127 Metric Tons) ",1/4 of one cent per bushel ($12.50 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and ",Agriculture,Grain And Oilseed,,,,,,,,,
C0,NYMEX,Mont Belvieu Ethane (OPIS) Futures,42000,1.00E-05,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-ethane-opis-5-decimals-swap_contract_specifications.html,CME Globex: AC0CME ClearPort: C0Clearing: C0 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Petrochemicals,,,,,,,,,
CB,CME,Cash-settled Butter Futures,200,0.025,http://www.cmegroup.com/trading/agricultural/dairy/cash-settled-butter_contract_specifications.html,CME Globex: CBCME ClearPort: CBClearing: CB ,Financially Settled ,Cents per pound ,"20,000 lbs. of Butter ( ˜9 metric tons) ",$0.00025 per pound (= $5.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Butter price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. ,Agriculture,Dairy,,Cash-Settled Butter Futures,CB,Outright,0.00025,5,20000,,
CD,CME,Canadian Dollar Futures,100000,5.00E-05,http://www.cmegroup.com/trading/fx/g10/canadian-dollar_contract_specifications.html,CME Globex: 6C ,Deliverable ,,"100,000 Canadian dollars ",Outrights: .00005 USD per CAD  ($5.00 USD). ,9:16 a.m. Central Time (CT) on the business day immediately preceding the third Wednesday of the contract month (usually Tuesday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,FX,Majors,,,,,,,,,
CI,NYMEX,CIG Rockies Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,http://www.cmegroup.com/trading/energy/natural-gas/cig-rocky-mountain-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: CINCME ClearPort: CIClearing: CI ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: ,Energy,Natural Gas,,,,,,,,,
CL,NYMEX,Crude Oil Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/light-sweet-crude_contract_specifications.html,CME Globex: CLCME ClearPort: CLClearing: CL ,Deliverable ,U.S. Dollars and Cents per Barrel ,"1,000 barrels ",$0.01 per Barrel ,"Trading in the current delivery month shall cease on the third business day prior to the twenty-fifth calendar day of the month preceding the delivery month. If the twenty-fifth calendar day of the month is a non-business day, trading shall cease on the third business day prior to the last business day preceding the twenty-fifth calendar day. In the event that the official Exchange holiday schedule changes subsequent to the listing of a Crude Oil futures, the originally listed expiration date shall remain in effect. In the event that the originally listed expiration day is declared a holiday, expiration will move to the business day immediately prior. ",CME Globex: ,Energy,Crude Oil,NYMEX,Light Sweet Crude Oil Futures,CL,Outright,0.01,10,1000,,
CNH,CME,Standard-Size USD/Offshore RMB (CNH) Futures,100000,0.0001,http://www.cmegroup.com/trading/fx/emerging-market/usd-cnh_contract_specifications.html,CME Globex: CNHCME ClearPort: CNHClearing: CNH ,Financially Settled ,,"100,000 USD ",Outrights quoted in 0.0001 offshore Chinese renminbi per USD = 10 CNH per contract. 0.00005 offshore Chinese renminbi per USD increments (5 CNH/contract) for USD/CNH futures intra-currency spreads executed electronically. ,Trading terminates on the second Hong Kong business day prior to the third Wednesday of the contract month at 11:00 a.m. Hong Kong local time. ,CME Globex: ,FX,Emerging Markets,,,,,,,,,
