,root,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours
11,4P,http://www.cmegroup.com/trading/energy/electricity/pjm-peco-zone-5-mw-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A4PCME ClearPort: 4PClearing: 4P ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
12,58,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-e-5-mw-off-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: A58CME ClearPort: 58Clearing: 58 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
13,5C,http://www.cmegroup.com/trading/energy/refined-products/chicago-ultra-low-sulfur-diesel-ulsd-platts-vs-heating-oil-spread-swap_contract_specifications.html,CME Globex: A5CCME ClearPort: 5CClearing: 5C ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
14,5Z,http://www.cmegroup.com/trading/energy/natural-gas/columbia-gulf-mainline-natural-gas-basis-swap-futures_contract_specifications.html,CME Globex: 5ZNCME ClearPort: 5ZClearing: 5Z ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
15,6T,http://www.cmegroup.com/trading/energy/emissions/in-delivery-month-european-union-allowance_contract_specifications.html ,,,,,,,
16,71,http://www.cmegroup.com/trading/energy/ethanol/CBT-ethanol-forward-month-swap_contract_specifications.html,,,,,,,
17,7H,http://www.cmegroup.com/trading/energy/refined-products/gasoline-euro-bob-oxy-new-barges-swap-futures_contract_specifications.html,CME Globex: B7HCME ClearPort: 7HClearing: 7H ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
18,7K,http://www.cmegroup.com/trading/energy/refined-products/gasoline-euro-bob-oxy-new-barges-crack-spread-swap-futures_contract_specifications.html,CME Globex: T7KCME ClearPort: 7KClearing: 7K ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: 
19,7Q,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-natural-gasoline-5-decimal-opis-swap_contract_specifications.html,CME Globex: A7QCME ClearPort: 7QClearing: 7Q ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
20,7Y,http://www.cmegroup.com/trading/energy/refined-products/new-york-ulsd-vs-heating-oil-spread-swap-futures_contract_specifications.html,CME Globex: A7YCME ClearPort: 7YClearing: 7Y ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
21,8I,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-iso-butane-5-decimal-opis-swap-futures_contract_specifications.html,CME Globex: A8ICME ClearPort: 8IClearing: 8I ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
22,8Z,http://www.cmegroup.com/trading/energy/natural-gas/southern-star-texas-oklahoma-kansas-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: 8ZNCME ClearPort: 8ZClearing: 8Z ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
23,9F,http://www.cmegroup.com/trading/energy/natural-gas/texas-gas-zone-1-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: 9FNCME ClearPort: 9FClearing: 9F ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
24,A3,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-c-5-mw-off-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: AA3 ,Financially Settled ,The contract quantity shall be 5 Megawatts Hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
25,A5,http://www.cmegroup.com/trading/energy/refined-products/eia-flat-tax-on-highway-diesel-swap_contract_specifications.html,CME Globex: AA5CME ClearPort: A5Clearing: A5 ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
26,A6,http://www.cmegroup.com/trading/energy/refined-products/group-three-ultra-low-sulfur-diesel-ulsd-platts-vs-heating-oil-spread-swap_contract_specifications.html,CME Globex: AA6CME ClearPort: A6Clearing: A6 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
27,ABY,http://www.cmegroup.com/trading/energy/crude-oil/wti-brent-ice-bullet-swap-futures_contract_specifications.html,CME Globex: ABYCME ClearPort: BYClearing: BY ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"For contract months up to and including the February 2016 contract, trading shall end one business day prior to the termination of the Brent futures contract, i.e., two business days before the fifteenth calendar day prior to the first day of the delivery month, if the fifteenth calendar day is not a holiday or weekend in London. If the fifteenth calendar day is a holiday or weekend in London, trading shall end three business days prior to the last business day preceding the fifteenth calendar day. Effective with the March 2016 contract, the last trading day will be the business day preceding the last UK business day of the second month preceding the contract month, except for the business day preceding New Year's Day, where trading shall cease on the third UK business day preceding New Year's Day. ",CME Globex: 
28,AD,http://www.cmegroup.com/trading/fx/g10/australian-dollar_contract_specifications.html,CME Globex: 6A ,Deliverable ,,"100,000 Australian dollars ",Outrights: 0.0001 USD per AUD increments ($10.00 USD). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday – Friday 5:00 p.m. – 4:00 p.m. CT (with a 60-minute break each day beginning at 4:00 p.m.CT) 
29,AFF,http://www.cmegroup.com/trading/energy/crude-oil/wts-argus-vs-wti-calendar-spread-swap-futures_contract_specifications.html,CME Globex: AFFCME ClearPort: FFClearing: FF ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
30,AGA,http://www.cmegroup.com/trading/energy/refined-products/gasoil-arb-singapore-gasoil-platts-vs-ice-rdam-gasoil-swap_contract_specifications.html,CME Globex: AGACME ClearPort: GAClearing: GA ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: 
31,ALI,http://www.cmegroup.com/trading/metals/base/aluminum_contract_specifications.html,CME Globex: ALICME ClearPort: ALIClearing: ALI ,Deliverable ,U.S. dollars and cents per metric ton ,25 metric tons ,$0.25 per metric ton ,Third last business day of the contract month ,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. 
32,ALW,http://www.cmegroup.com/trading/energy/coal/australian-coking-coal-platts-low-vol-swap_contract_specifications.html,CME Globex: ALWCME ClearPort: ALWClearing: ALW ,Financially Settled ,U.S. Dollars and Cents per metric ton ,"1,000 metric tons ",$0.01 per metric ton ($10.00 per contract) ,Trading terminates on the last business day of the contract month (follows the Singapore calendar). ,CME Globex: 
33,AUD,http://www.cmegroup.com/europe/products/fx/majors/aud-usd_contract_specifications.html,,,,,,,
34,AW,http://www.cmegroup.com/trading/agricultural/commodity-index/dow-jones-ubs-excess-return-commodity-index_contract_specifications.html,CME Globex: AWCME ClearPort: 70 ,Financially Settled ,Index points ,$100 times the Bloomberg Commodity Index ,.10 Index point ($10.00 per contract) ,3rd Wednesday of contract month/ 1:30pm ,CME Globex: 
35,B0,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-propane-5-decimals-swap_contract_specifications.html,CME Globex: B0CME ClearPort: B0Clearing: B0 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
36,B3,http://www.cmegroup.com/trading/energy/electricity/pjm-northern-illinois-hub-5-mw-peak-real-time-calendar-month-lmp-swap-futures_contract_specifications.html,CME Globex: AB3 ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the second to last business day of the month prior to the contract month, each B3/AB3 open position converts into a strip of PJM Northern Illinois Hub Real-Time Peak Calendar-Day 5 MW Futures - UD/UDL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
37,B4,http://www.cmegroup.com/trading/energy/natural-gas/algonquin-citygates-natural-gas-basis-futures_contract_specifications.html,,,,,,,
38,B6,http://www.cmegroup.com/trading/energy/electricity/pjm-ni-hub-5-mw-real-time-off-peak-futures_contract_specifications.html,CME Globex: B6LCME ClearPort: B6 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the last business day of the month prior to the contract month, each B6/B6L open position converts into a strip of PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Day 5 MW Futures - NOC/NOI in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
39,BB,http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil_contract_specifications.html,CME Globex: BBCME ClearPort: BBClearing: BB ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading terminates on the business day preceding the last UK business day of the second month preceding the contract month, except for the business day preceding New Year's Day, where trading shall cease on the third UK business day preceding New Year's Day. ",CME Globex: 
40,BK,http://www.cmegroup.com/trading/energy/crude-oil/wti-brent-ice-calendar-swap-futures_contract_specifications.html,CME Globex: BKCME ClearPort: BKClearing: BK ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month ,CME Globex: 
41,BO,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean-oil_contract_specifications.html,CME Globex: ZLCME ClearPort: 07 ,Deliverable ,Cents per pound ,"60,000 pounds (lbs) (~ 27 metric tons) ",1/100 of a cent ($0.0001) per pound ($6.00 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and "
42,BOB,http://www.cmegroup.com/trading/energy/refined-products/35pct-fuel-oil-platts-barges-fob-rdam-crack-spread-1000mt-swap-futures_contract_specifications.html,CME Globex: BOOCME ClearPort: BOBClearing: BOB ,Financially Settled ,U.S. Dollars and Cents per Barrel ,"6,350 barrels (1,000 metic tons) ",$0.001 per Barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
43,BP,http://www.cmegroup.com/trading/fx/g10/british-pound_contract_specifications.html,CME Globex: 6B ,Deliverable ,,"62,500 British pounds ",Outrights: 0.0001 USD per GBP increments ($6.25 USD). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
44,BR,http://www.cmegroup.com/trading/fx/emerging-market/brazilian-real_contract_specifications.html,CME Globex: 6LCME ClearPort: BRClearing: BR ,Financially Settled ,,"100,000 Brazilian reais ",$.00005 per Brazilian real increments ($5.00/contract). ,"On the last business day of the month, at 9:15 a.m. CT, immediately preceding the contract month, on which the Central Bank of Brazil is scheduled to publish its final end-of-month (EOM), ""Commercial exchange rate for Brazilian reais per U.S. dollar for cash delivery"" (PTAX rate). ",Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. 
45,BY,http://www.cmegroup.com/trading/fx/g10/british-pound-japanese-yen_contract_specifications.html,CME Globex: PJYCME ClearPort: BYClearing: BY ,Deliverable ,,"125,000 British pounds ",".01 Japanese yen per British pound increments (1,250 Japanese yen). .005 Japanese yen per British pound increments (625 Japanese yen) for GBP/JPY futures intra-currency spreads executed electronically. ",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
46,BZ,http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil-last-day_contract_specifications.html,CME Globex: BZCME ClearPort: BZClearing: BZ ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading terminates on the last UK business day of the second month prior to the contract month, except for the UK business day prior to New Year’s Day, where trading terminates on the second UK business day prior to New Year’s Day. ",CME Globex: 
47,C,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/corn_contract_specifications.html,CME Globex: ZCCME ClearPort: C ,Deliverable ,Cents per bushel ,"5,000 bushels (~ 127 Metric Tons) ",1/4 of one cent per bushel ($12.50 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and "
48,C0,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-ethane-opis-5-decimals-swap_contract_specifications.html,CME Globex: AC0CME ClearPort: C0Clearing: C0 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
49,CAD,http://www.cmegroup.com/europe/products/fx/majors/usd-cad_contract_specifications.html,,,,,,,
50,CB,http://www.cmegroup.com/trading/agricultural/dairy/cash-settled-butter_contract_specifications.html,CME Globex: CBCME ClearPort: CBClearing: CB ,Financially Settled ,Cents per pound ,"20,000 lbs. of Butter ( ˜9 metric tons) ",$0.00025 per pound (= $5.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Butter price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. 
51,CCP,http://www.cmegroup.com/europe/products/agricultural/softs/physically-delivered-cocoa_contract_specifications.html,,,,,,,
52,CD,http://www.cmegroup.com/trading/fx/g10/canadian-dollar_contract_specifications.html,CME Globex: 6C ,Deliverable ,,"100,000 Canadian dollars ",Outrights: .00005 USD per CAD  ($5.00 USD). ,9:16 a.m. Central Time (CT) on the business day immediately preceding the third Wednesday of the contract month (usually Tuesday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
53,CI,http://www.cmegroup.com/trading/energy/natural-gas/cig-rocky-mountain-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: CINCME ClearPort: CIClearing: CI ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
54,CJ,http://www.cmegroup.com/trading/agricultural/softs/cocoa_contract_specifications.html,CME Globex: CJCME ClearPort: CJClearing: CJ ,Financially Settled ,U.S. Dollars and Cents per ton ,10 metric tons ,$1.00 per ton ,Trading terminates on the day immediately preceding the first notice day of the corresponding trading month of Cocoa futures at ICE Futures U.S. ,CME Globex: 
55,CL,http://www.cmegroup.com/trading/energy/crude-oil/light-sweet-crude_contract_specifications.html,CME Globex: CLCME ClearPort: CLClearing: CL ,Deliverable ,U.S. Dollars and Cents per Barrel ,"1,000 barrels ",$0.01 per Barrel ,"Trading in the current delivery month shall cease on the third business day prior to the twenty-fifth calendar day of the month preceding the delivery month. If the twenty-fifth calendar day of the month is a non-business day, trading shall cease on the third business day prior to the last business day preceding the twenty-fifth calendar day. In the event that the official Exchange holiday schedule changes subsequent to the listing of a Crude Oil futures, the originally listed expiration date shall remain in effect. In the event that the originally listed expiration day is declared a holiday, expiration will move to the business day immediately prior. ",CME Globex: 
56,CNH,http://www.cmegroup.com/trading/fx/emerging-market/usd-cnh_contract_specifications.html,CME Globex: CNHCME ClearPort: CNHClearing: CNH ,Financially Settled ,,"100,000 USD ",Outrights quoted in 0.0001 offshore Chinese renminbi per USD = 10 CNH per contract. 0.00005 offshore Chinese renminbi per USD increments (5 CNH/contract) for USD/CNH futures intra-currency spreads executed electronically. ,Trading terminates on the second Hong Kong business day prior to the third Wednesday of the contract month at 11:00 a.m. Hong Kong local time. ,CME Globex: 
57,CPO,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/crude-palm-oil-futures_contract_specifications.html,,,,,,,
58,CS,http://www.cmegroup.com/trading/energy/crude-oil/west-texas-intermediate-wti-crude-oil-calendar-swap-futures_contract_specifications.html,CME Globex: CSXCME ClearPort: CSClearing: CS ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
59,CSC,http://www.cmegroup.com/trading/agricultural/dairy/cheese_contract_specifications.html,CME Globex: CSCCME ClearPort: CSCClearing: CSC ,Financially Settled ,Dollars per pound ,"20,000 pounds of Cheese (~9 Metric Tons) ",$0.001 per pound (= $20.00 per contract) ,Trading shall terminate on the business day immediately preceding the release date for the USDA monthly weighted average price in the U.S. for cheese. LTD close is at 12:10 p.m. Central Time ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. 
60,CU,http://www.cmegroup.com/trading/energy/ethanol/chicago-ethanol-platts-swap_contract_specifications.html,CME Globex: CUCME ClearPort: CUClearing: CU ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading terminates on the last business day of the contract month. ,CME Globex: 
61,CY,http://www.cmegroup.com/trading/energy/crude-oil/brent-ice-calendar-swap-futures_contract_specifications.html,CME Globex: CYCME ClearPort: CYClearing: CY ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
62,CZ,http://www.cmegroup.com/trading/energy/natural-gas/transco-zone-3-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: CZNCME ClearPort: CZClearing: CZ ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
63,D0,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-normal-butane-5-decimals-swap_contract_specifications.html,CME Globex: AD0CME ClearPort: D0Clearing: D0 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
64,D2,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-g-5-mw-off-peak-day-ahead-futures_contract_specifications.html,CME Globex: D2LCME ClearPort: D2 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,"On the last business day of the month prior to the contract month, each D2/D2L open position converts into a strip of NYISO Zone G Day-Ahead Off-Peak Calendar-Day 5 MW Futures - ZGO/ZGL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
65,D3,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-j-5-mw-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: D3L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the last business day of the month prior to the contract month, each D3/D3L open position converts into a strip of NYISO Zone J Day-Ahead Peak Calendar-Day 5 MW Futures - JN/JNL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
66,D4,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-j-5-mw-off-peak-cal-mon-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: D4LCME ClearPort: D4 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the second to last business day of the month prior to the contract month, each D4/D4L open position converts into a strip of NYISO Zone J Day-Ahead Off-Peak Calendar-Day 5 MW Futures - ZJO/ZJL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
67,D6,http://www.cmegroup.com/trading/energy/electricity/pjm-duquesne-5-mw-off-peak-cal-mon-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AD6CME ClearPort: D6 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
68,D7,http://www.cmegroup.com/trading/energy/electricity/pjm-aep-dayton-hub-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: D7L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the last business day of the month prior to the contract month, each D7/D7L open position converts into a strip of PJM AEP Dayton Hub Day-Ahead Peak Calendar-Day 5 MW Futures - PAP/PAL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
69,D8,http://www.cmegroup.com/trading/energy/electricity/pjm-comed-5-mw-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AD8CME ClearPort: D8Clearing: D8 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: 
